Jun 20 2016 01: +0,6.898,1072
Jun 21 2016 01: +0,7.006,1054
Jun 22 2016 01: +0,6.757,1036
Jun 23 2016 01: +0,6.841,2129
Jun 24 2016 01: +0,6.164,3035
Jun 25 2016 01: +0,6.131,1611
Jun 26 2016 01: +0,6.194,1641
Jun 27 2016 01: +0,6.152,1906
Jun 28 2016 01: +0,6.112,1964
Jun 29 2016 01: +0,6.122,1431
Jun 30 2016 01: +0,6.088,2216
Jul 01 2016 01: +0,5.976,1964
Jul 02 2016 01: +0,5.802,2360
Jul 03 2016 01: +0,5.801,2698
Jul 04 2016 01: +0,5.848,2941
Jul 05 2016 01: +0,5.955,1887
Jul 06 2016 01: +0,6.232,2059
Jul 07 2016 01: +0,6.033,2506
Jul 08 2016 01: +0,6.01,1673
Jul 09 2016 01: +0,5.96,2135
Jul 10 2016 01: +0,5.644,2620
Jul 11 2016 01: +0,5.579,1483
Jul 12 2016 01: +0,5.662,1484
Jul 13 2016 01: +0,5.863,1243
Jul 14 2016 01: +0,5.863,1190
Jul 15 2016 01: +0,5.89,1019
Jul 16 2016 01: +0,5.93,1137
Jul 17 2016 01: +0,5.906,1086
Jul 18 2016 01: +0,5.878,1136
Jul 19 2016 01: +0,5.876,1421
Jul 20 2016 01: +0,5.911,1326
Jul 21 2016 01: +0,5.928,1334
Jul 22 2016 01: +0,6.013,1161
Jul 23 2016 01: +0,6.301,2712
Jul 24 2016 01: +0,6.008,1262
Jul 25 2016 01: +0,5.994,1116
Jul 26 2016 01: +0,6.062,1452
Jul 27 2016 01: +0,6.151,950
Jul 28 2016 01: +0,6.287,1449
Jul 29 2016 01: +0,6.257,965
Jul 30 2016 01: +0,6.161,908
Jul 31 2016 01: +0,6.156,969
Aug 01 2016 01: +0,6.212,802
Aug 02 2016 01: +0,6.276,890
Aug 03 2016 01: +0,6.299,978
Aug 04 2016 01: +0,6.357,950
Aug 05 2016 01: +0,6.559,850
Aug 06 2016 01: +0,6.527,775
Aug 07 2016 01: +0,6.517,884
Aug 08 2016 01: +0,6.518,633
Aug 09 2016 01: +0,6.532,840
Aug 10 2016 01: +0,6.455,634
Aug 11 2016 01: +0,6.51,759
Aug 12 2016 01: +0,6.566,944
Aug 13 2016 01: +0,6.473,705
Aug 14 2016 01: +0,6.487,837
Aug 15 2016 01: +0,6.535,752
Aug 16 2016 01: +0,6.786,961
Aug 17 2016 01: +0,6.561,682
Aug 18 2016 01: +0,6.554,913
Aug 19 2016 01: +0,6.545,689
Aug 20 2016 01: +0,6.602,792
Aug 21 2016 01: +0,6.906,825
Aug 22 2016 01: +0,6.801,1081
Aug 23 2016 01: +0,6.526,735
Aug 24 2016 01: +0,6.608,1054
Aug 25 2016 01: +0,6.634,948
Aug 26 2016 01: +0,6.573,764
Aug 27 2016 01: +0,6.607,839
Aug 28 2016 01: +0,6.601,945
Aug 29 2016 01: +0,6.603,743
Aug 30 2016 01: +0,6.606,870
Aug 31 2016 01: +0,6.595,793
Sep 01 2016 01: +0,6.646,801
Sep 02 2016 01: +0,6.742,795
Sep 03 2016 01: +0,6.661,815
Sep 04 2016 01: +0,6.657,957
Sep 05 2016 01: +0,6.7,818
Sep 06 2016 01: +0,6.75,919
Sep 07 2016 01: +0,6.991,804
Sep 08 2016 01: +0,7.191,607
Sep 09 2016 01: +0,7.292,928
